SampleID,Factor,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller,Tissue,Condition
CDX19_ShRen_DOX_IP_Ptech,Ptech,1,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShRen_DOX_IP_Ptech_R1.mLb.clN.sorted.bam,CDX19_ShRen_INPUT,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShRen_INPUT_R1.mLb.clN.sorted.bam,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/macs/narrowPeak/CDX19_ShRen_DOX_IP_Ptech_R1_peaks.narrowPeak,narrow,CDX19,WT
CDX19_ShATOH1_3_DOX_IP_Ptech,Ptech,1,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShATOH1_3_DOX_IP_Ptech_R1.mLb.clN.sorted.bam,CDX19_ShATOH1_3_INPUT,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShATOH1_3_INPUT_R1.mLb.clN.sorted.bam,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/macs/narrowPeak/CDX19_ShATOH1_3_DOX_IP_Ptech_R1_peaks.narrowPeak,narrow,CDX19,KD
CDX19_ShRen_DOX_IP_SY0287,SY0287,1,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShRen_DOX_IP_SY0287_R1.mLb.clN.sorted.bam,CDX19_ShRen_INPUT,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShRen_INPUT_R1.mLb.clN.sorted.bam,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/macs/narrowPeak/CDX19_ShRen_DOX_IP_SY0287_R1_peaks.narrowPeak,narrow,CDX19,WT
CDX19_ShATOH1_3_IP_SY0287,SY0287,1,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShATOH1_3_IP_SY0287_R1.mLb.clN.sorted.bam,CDX19_ShATOH1_3_INPUT,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShATOH1_3_INPUT_R1.mLb.clN.sorted.bam,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/macs/narrowPeak/CDX19_ShATOH1_3_IP_SY0287_R1_peaks.narrowPeak,narrow,CDX19,WT
CDX19_ShATOH1_3_DOX_IP_SY0287,SY0287,1,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShATOH1_3_DOX_IP_SY0287_R1.mLb.clN.sorted.bam,CDX19_ShATOH1_3_INPUT,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/CDX19_ShATOH1_3_INPUT_R1.mLb.clN.sorted.bam,/data/cep/shumphrey/AlessiasData/NFpipeline_ChIP/results_human/bwa/mergedLibrary/macs/narrowPeak/CDX19_ShATOH1_3_DOX_IP_SY0287_R1_peaks.narrowPeak,narrow,CDX19,KD
